sic,knowDepr,organDepr,gamma,industry5
3270,.34,.2,.24,2
5331,.33,.2,.2,1
3021,.34,.2,.24,2
3826,.45,.2,.45,3
3320,.34,.2,.24,2
3569,.34,.2,.24,2
7371,.45,.2,.45,3
3490,.34,.2,.24,2
3448,.34,.2,.24,2
3822,.45,.2,.45,3
3829,.45,.2,.45,3
8734,.45,.2,.45,3
5150,.33,.2,.2,1
2082,.33,.2,.2,1
5063,.33,.2,.2,1
8742,.23,.2,.35,5
5065,.33,.2,.2,1
3330,.34,.2,.24,2
6519,.23,.2,.35,5
3231,.34,.2,.24,2
3575,.45,.2,.45,3
6510,.23,.2,.35,5
2070,.33,.2,.2,1
2721,.33,.2,.2,1
3524,.34,.2,.24,2
5661,.33,.2,.2,1
3081,.34,.2,.24,2
5651,.33,.2,.2,1
3613,.34,.2,.24,2
5940,.33,.2,.2,1
2421,.23,.2,.35,5
3390,.34,.2,.24,2
3950,.33,.2,.2,1
5141,.33,.2,.2,1
4210,.23,.2,.35,5
7374,.45,.2,.45,3
5140,.33,.2,.2,1
4932,.34,.2,.24,2
4924,.34,.2,.24,2
3911,.33,.2,.2,1
3760,.34,.2,.24,2
1000,.23,.2,.35,5
7384,.23,.2,.35,5
4013,.23,.2,.35,5
1221,.34,.2,.24,2
5099,.33,.2,.2,1
3634,.33,.2,.2,1
2111,.33,.2,.2,1
3470,.34,.2,.24,2
2320,.33,.2,.2,1
3567,.34,.2,.24,2
3510,.34,.2,.24,2
3824,.45,.2,.45,3
2821,.34,.2,.24,2
5070,.33,.2,.2,1
3411,.34,.2,.24,2
2430,.23,.2,.35,5
2761,.34,.2,.24,2
4931,.34,.2,.24,2
2851,.34,.2,.24,2
3721,.34,.2,.24,2
3531,.34,.2,.24,2
2400,.23,.2,.35,5
2330,.33,.2,.2,1
3562,.34,.2,.24,2
3579,.45,.2,.45,3
2842,.34,.2,.24,2
3140,.33,.2,.2,1
2522,.34,.2,.24,2
5961,.33,.2,.2,1
5399,.33,.2,.2,1
3290,.34,.2,.24,2
2511,.33,.2,.2,1
3550,.34,.2,.24,2
2100,.33,.2,.2,1
2000,.33,.2,.2,1
3532,.34,.2,.24,2
3677,.45,.2,.45,3
1044,.23,.2,.35,5
3960,.33,.2,.2,1
6162,.23,.2,.35,5
3317,.34,.2,.24,2
9997,.23,.2,.35,5
1382,.34,.2,.24,2
4991,.23,.2,.35,5
5731,.33,.2,.2,1
2211,.33,.2,.2,1
2650,.34,.2,.24,2
2950,.34,.2,.24,2
1700,.23,.2,.35,5
3843,.33,.2,.5,4
3821,.45,.2,.45,3
1623,.23,.2,.35,5
2011,.33,.2,.2,1
5082,.33,.2,.2,1
3620,.34,.2,.24,2
5110,.33,.2,.2,1
1090,.23,.2,.35,5
3541,.34,.2,.24,2
3851,.33,.2,.5,4
4700,.23,.2,.35,5
7948,.23,.2,.35,5
3430,.34,.2,.24,2
2013,.33,.2,.2,1
2451,.23,.2,.35,5
2084,.33,.2,.2,1
3580,.34,.2,.24,2
3221,.34,.2,.24,2
5621,.33,.2,.2,1
6532,.23,.2,.35,5
3713,.34,.2,.24,2
3931,.33,.2,.2,1
6282,.23,.2,.35,5
6795,.23,.2,.35,5
5094,.33,.2,.2,1
,.23,.2,.35,5
4011,.23,.2,.35,5
8744,.23,.2,.35,5
2741,.33,.2,.2,1
6172,.23,.2,.35,5
8200,.23,.2,.35,5
8093,.33,.2,.2,1
2015,.33,.2,.2,1
800,.33,.2,.2,1
3533,.34,.2,.24,2
5531,.33,.2,.2,1
5500,.33,.2,.2,1
5051,.33,.2,.2,1
5271,.33,.2,.2,1
3480,.34,.2,.24,2
5211,.33,.2,.2,1
3669,.45,.2,.45,3
700,.33,.2,.2,1
4950,.23,.2,.35,5
2631,.34,.2,.24,2
3630,.33,.2,.2,1
5945,.33,.2,.2,1
8300,.23,.2,.35,5
7320,.23,.2,.35,5
2090,.33,.2,.2,1
2840,.34,.2,.24,2
5412,.33,.2,.2,1
5944,.33,.2,.2,1
1520,.23,.2,.35,5
3250,.34,.2,.24,2
3100,.33,.2,.2,1
3827,.45,.2,.45,3
2891,.34,.2,.24,2
7377,.45,.2,.45,3
3695,.45,.2,.45,3
3570,.45,.2,.45,3
3790,.34,.2,.24,2
3444,.34,.2,.24,2
8721,.23,.2,.35,5
7841,.23,.2,.35,5
7819,.23,.2,.35,5
2732,.33,.2,.2,1
3086,.34,.2,.24,2
2611,.34,.2,.24,2
2020,.33,.2,.2,1
7330,.23,.2,.35,5
5171,.33,.2,.2,1
5130,.33,.2,.2,1
4581,.23,.2,.35,5
4888,.45,.2,.45,3
4100,.23,.2,.35,5
2531,.34,.2,.24,2
2024,.33,.2,.2,1
3561,.34,.2,.24,2
3600,.34,.2,.24,2
4961,.23,.2,.35,5
